username,url,influencerCategory,influencerMention,accountType
ozlem.ozdemirr,"https://docs.google.com/forms/d/e/1FAIpQLSfyzdCEu8dJGiUoR9DVcqOZYBgcMMnE6z2XGrmA17lhYi801Q/viewform?usp=pp_url&entry.1102225441=https://instagram.com/ozlem.ozdemirr&entry.1477564887=30456
",Entertainment,No,Influencer
caglaralmendi,"https://docs.google.com/forms/d/e/1FAIpQLSfyzdCEu8dJGiUoR9DVcqOZYBgcMMnE6z2XGrmA17lhYi801Q/viewform?usp=pp_url&entry.1102225441=https://instagram.com/caglaralmendi&entry.1477564887=30456
",Fashion,No,Influencer
modabelliniofficial,"https://docs.google.com/forms/d/e/1FAIpQLSfyzdCEu8dJGiUoR9DVcqOZYBgcMMnE6z2XGrmA17lhYi801Q/viewform?usp=pp_url&entry.1102225441=https://instagram.com/modabelliniofficial&entry.1477564887=30456
",Fashion,No,Company
bkmonline,"https://docs.google.com/forms/d/e/1FAIpQLSfyzdCEu8dJGiUoR9DVcqOZYBgcMMnE6z2XGrmA17lhYi801Q/viewform?usp=pp_url&entry.1102225441=https://instagram.com/bkmonline&entry.1477564887=30456
",Entertainment,No,Company
turkiyekaykayfederasyonu,"https://docs.google.com/forms/d/e/1FAIpQLSfyzdCEu8dJGiUoR9DVcqOZYBgcMMnE6z2XGrmA17lhYi801Q/viewform?usp=pp_url&entry.1102225441=https://instagram.com/turkiyekaykayfederasyonu&entry.1477564887=30456
",,,
minikkusblog,"https://docs.google.com/forms/d/e/1FAIpQLSfyzdCEu8dJGiUoR9DVcqOZYBgcMMnE6z2XGrmA17lhYi801Q/viewform?usp=pp_url&entry.1102225441=https://instagram.com/minikkusblog&entry.1477564887=30456
",Mom and Children,No,Influencer
uluborlubld,"https://docs.google.com/forms/d/e/1FAIpQLSfyzdCEu8dJGiUoR9DVcqOZYBgcMMnE6z2XGrmA17lhYi801Q/viewform?usp=pp_url&entry.1102225441=https://instagram.com/uluborlubld&entry.1477564887=30456
",Entertainment,No,Influencer
pullmanistanbul,"https://docs.google.com/forms/d/e/1FAIpQLSfyzdCEu8dJGiUoR9DVcqOZYBgcMMnE6z2XGrmA17lhYi801Q/viewform?usp=pp_url&entry.1102225441=https://instagram.com/pullmanistanbul&entry.1477564887=30456
",Travel,No,Company
fandbculture,"https://docs.google.com/forms/d/e/1FAIpQLSfyzdCEu8dJGiUoR9DVcqOZYBgcMMnE6z2XGrmA17lhYi801Q/viewform?usp=pp_url&entry.1102225441=https://instagram.com/fandbculture&entry.1477564887=30456
",Food,No,Company
misimplantsturkey,"https://docs.google.com/forms/d/e/1FAIpQLSfyzdCEu8dJGiUoR9DVcqOZYBgcMMnE6z2XGrmA17lhYi801Q/viewform?usp=pp_url&entry.1102225441=https://instagram.com/misimplantsturkey&entry.1477564887=30456
",Health and Lifestyle,No,Company
marcellopaintofficial,"https://docs.google.com/forms/d/e/1FAIpQLSfyzdCEu8dJGiUoR9DVcqOZYBgcMMnE6z2XGrmA17lhYi801Q/viewform?usp=pp_url&entry.1102225441=https://instagram.com/marcellopaintofficial&entry.1477564887=30456
",Art,No,Company
deparmedya,"https://docs.google.com/forms/d/e/1FAIpQLSfyzdCEu8dJGiUoR9DVcqOZYBgcMMnE6z2XGrmA17lhYi801Q/viewform?usp=pp_url&entry.1102225441=https://instagram.com/deparmedya&entry.1477564887=30456
",Tech,No,Company
tolgshowresmi,"https://docs.google.com/forms/d/e/1FAIpQLSfyzdCEu8dJGiUoR9DVcqOZYBgcMMnE6z2XGrmA17lhYi801Q/viewform?usp=pp_url&entry.1102225441=https://instagram.com/tolgshowresmi&entry.1477564887=30456
",Entertainment,No,Influencer
thomasturkiye,"https://docs.google.com/forms/d/e/1FAIpQLSfyzdCEu8dJGiUoR9DVcqOZYBgcMMnE6z2XGrmA17lhYi801Q/viewform?usp=pp_url&entry.1102225441=https://instagram.com/thomasturkiye&entry.1477564887=30456
",Tech,No,Company
sinpaskizilbuk,"https://docs.google.com/forms/d/e/1FAIpQLSfyzdCEu8dJGiUoR9DVcqOZYBgcMMnE6z2XGrmA17lhYi801Q/viewform?usp=pp_url&entry.1102225441=https://instagram.com/sinpaskizilbuk&entry.1477564887=30456
",Travel,No,Company
bmwmotorradturkiye,"https://docs.google.com/forms/d/e/1FAIpQLSfyzdCEu8dJGiUoR9DVcqOZYBgcMMnE6z2XGrmA17lhYi801Q/viewform?usp=pp_url&entry.1102225441=https://instagram.com/bmwmotorradturkiye&entry.1477564887=30456
",Tech,No,Company
fringeistanbul,"https://docs.google.com/forms/d/e/1FAIpQLSfyzdCEu8dJGiUoR9DVcqOZYBgcMMnE6z2XGrmA17lhYi801Q/viewform?usp=pp_url&entry.1102225441=https://instagram.com/fringeistanbul&entry.1477564887=30456
",Entertainment,No,Company
diyetisyenseymakavuncuoglu,"https://docs.google.com/forms/d/e/1FAIpQLSfyzdCEu8dJGiUoR9DVcqOZYBgcMMnE6z2XGrmA17lhYi801Q/viewform?usp=pp_url&entry.1102225441=https://instagram.com/diyetisyenseymakavuncuoglu&entry.1477564887=30456
",Health and Lifestyle,No,Influencer
bilge.trn,"https://docs.google.com/forms/d/e/1FAIpQLSfyzdCEu8dJGiUoR9DVcqOZYBgcMMnE6z2XGrmA17lhYi801Q/viewform?usp=pp_url&entry.1102225441=https://instagram.com/bilge.trn&entry.1477564887=30456
",Mom and Children,No,Influencer
siserisitmemerkezi,"https://docs.google.com/forms/d/e/1FAIpQLSfyzdCEu8dJGiUoR9DVcqOZYBgcMMnE6z2XGrmA17lhYi801Q/viewform?usp=pp_url&entry.1102225441=https://instagram.com/siserisitmemerkezi&entry.1477564887=30456
",Health and Lifestyle,No,Company
berilates,"https://docs.google.com/forms/d/e/1FAIpQLSfyzdCEu8dJGiUoR9DVcqOZYBgcMMnE6z2XGrmA17lhYi801Q/viewform?usp=pp_url&entry.1102225441=https://instagram.com/berilates&entry.1477564887=30456
",Art,No,Influencer
konuralpbeyosgb,"https://docs.google.com/forms/d/e/1FAIpQLSfyzdCEu8dJGiUoR9DVcqOZYBgcMMnE6z2XGrmA17lhYi801Q/viewform?usp=pp_url&entry.1102225441=https://instagram.com/konuralpbeyosgb&entry.1477564887=30456
",Health and Lifestyle,No,Company
